Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,English,Spanish,French
2540,169,konsultieren,konsultiere,,konsultierst,,konsultiert,konsultierte,,konsultiert,,konsultierte,,konsultiere,konsultier,,konsultiert,,haben,,consult,consultar,consulter
2541,169,messern,messere,,messerst,,messert,messerte,,gemessert,,messerte,,messer,,,messert,,haben,,knives,cuchillos,couteaux
2542,169,krabbeln,krabble,krabbele,krabbelst,,krabbelt,krabbelte,,gekrabbelt,,krabbelte,,krabble,krabbele,,krabbelt,,sein,haben,crawl,gatear,crawl
2543,169,demolieren,demoliere,,demolierst,,demoliert,demolierte,,demoliert,,demolierte,,demolier,demoliere,,demoliert,,haben,,demolish,demoler,démolir
2544,169,entblößen,entblöße,,entblößt,,entblößt,entblößte,,entblößt,,entblößte,,entblöße,,,entblößt,,haben,,bare,desnudo,nu
2545,169,ausspannen,spanne aus,,spannst aus,,spannt aus,spannte aus,,ausgespannt,,spannte aus,,spannt aus,spanne aus,,spannt aus,,haben,,relax,relajarse,se détendre
2546,169,erhellen,erhelle,,erhellst,,erhellt,erhellte,,erhellt,,erhellte,,erhell,erhelle,,erhellt,,haben,,illuminate,iluminar,éclairer
2526,170,ausstrahlen,strahle aus,,strahlst aus,,strahlt aus,strahlte aus,,ausgestrahlt,,strahlte aus,,strahl aus,strahle aus,,strahlt aus,,haben,,radiate,irradiar,rayonner
2527,170,managen,manage,,managst,,managt,managte,,gemanagt,,managte,,manage,,,managt,,haben,,manage,administrar,gérer
2528,170,konvertieren,konvertiere,,konvertierst,,konvertiert,konvertierte,,konvertiert,,konvertierte,,konvertiere,konvertier,,konvertiert,,haben,sein,convert,convertir,convertir
2529,170,einzahlen,zahle ein,,zahlst ein,,zahlt ein,zahlte ein,,eingezahlt,,zahlte ein,,zahl ein,zahle ein,,zahlt ein,,haben,,deposit,depósito,dépôt
2530,170,blinken,blinke,,blinkst,,blinkt,blinkte,,geblinkt,,blinkte,,blink,blinke,,blinkt,,haben,,flash,destello,éclair
2531,170,kapern,kapere,,kaperst,,kapert,kaperte,,gekapert,,kaperte,,kapere,,,kapert,,haben,,hijack,secuestrar,détourner
2532,170,aufblasen,blase auf,,bläst auf,,bläst auf,blies auf,,aufgeblasen,,bliese auf,,blase auf,blas auf,,blast auf,,haben,,inflation,inflación,inflation
2533,170,verwerfen,verwerfe,,verwirfst,,verwirft,verwarf,,verworfen,,verwürfe,,verwirf,,,verwerft,,haben,,discard,desechar,jeter
2534,170,lahmlegen,lege lahm,,legst lahm,,legt lahm,legte lahm,,lahmgelegt,,legte lahm,,leg lahm,lege lahm,,legt lahm,,haben,,paralyze,paralizar,paralyser
2535,170,fertigstellen,stelle fertig,,stellst fertig,,stellt fertig,stellte fertig,,fertiggestellt,,stellte fertig,,stell fertig,stelle fertig,,stellt fertig,,haben,,finish,finalizar,finition
2536,170,zerdrücken,zerdrücke,,zerdrückst,,zerdrückt,zerdrückte,,zerdrückt,,zerdrückte,,zerdrück,zerdrücke,,zerdrückt,,haben,,crush,aplastar,écraser
2537,170,ausstoßen,stoße aus,,stößt aus,,stößt aus,stieß aus,,ausgestoßen,,stieße aus,,stoße aus,,,stoßt aus,,haben,,expel,expulsar,expulser
2522,171,verschanzen,verschanze,,verschanzt,,verschanzt,verschanzte,,verschanzt,,verschanzte,,verschanz,,,verschanzt,,haben,,entrench,atrincherar,retrancher
2523,171,haften,hafte,,haftest,,haftet,haftete,,gehaftet,,haftete,,haft,hafte,,haftet,,haben,,adhere,adherirse,adhérer
2524,171,verfliegen,verfliege,,verfliegst,,verfliegt,verflog,,verflogen,,verflöge,,verflieg,verfliege,,verfliegt,,haben,sein,evaporate,evaporar,évaporer
2525,171,runterlassen,lasse runter,,lässt runter,,lässt runter,ließ runter,,runtergelassen,,ließe runter,,lass runter,lasse runter,,lasst runter,lasset runter,haben,,let down,Dejar abajo,laisser tomber
2516,172,ergänzen,ergänze,,ergänzt,,ergänzt,ergänzte,,ergänzt,,ergänzte,,ergänze,,,ergänzt,,haben,,add to,añadir,Ajouter à
2517,172,bolzen,bolze,,bolzt,,bolzt,bolzte,,gebolzt,,bolzte,,bolz,bolze,,bolzt,,haben,,bolt,tornillo,boulon
2518,172,beflecken,beflecke,,befleckst,,befleckt,befleckte,,befleckt,,befleckte,,befleck,beflecke,,befleckt,,haben,,tarnish,deslustre,ternir
2519,172,zermalmen,zermalme,,zermalmst,,zermalmt,zermalmte,,zermalmt,,zermalmte,,zermalme,,,zermalmt,,haben,,crush,aplastar,écraser
2520,172,vollstopfen,stopfe voll,,stopfst voll,,stopft voll,stopfte voll,,vollgestopft,,stopfte voll,,stopf voll,stopfe voll,,stopft voll,,haben,,stuff up,cosas hasta,faire des trucs
2521,172,vorweisen,weise vor,,weist vor,,weist vor,wies vor,,vorgewiesen,,wiese vor,,weis vor,weise vor,,weist vor,,haben,,show,espectáculo,montrer
2515,173,kommentieren,kommentiere,,kommentierst,,kommentiert,kommentierte,,kommentiert,,kommentierte,,kommentiere,kommentier,,kommentiert,,haben,,comment,comentario,commentaire
2512,174,abbezahlen,bezahle ab,,bezahlst ab,,bezahlt ab,bezahlte ab,,abbezahlt,,bezahlte ab,,bezahl ab,bezahle ab,,bezahlt ab,,haben,,pay off,saldar,payer
2513,174,verbleiben,verbleibe,,verbleibst,,verbleibt,verblieb,,verblieben,,verbliebe,,verbleibe,,,verbleibt,,sein,,remain,permanecer,rester
2514,174,rupfen,rupfe,,rupfst,,rupft,rupfte,,gerupft,,rupfte,,rupf,rupfe,,rupft,,haben,,pluck,arrancar,cueillir
2506,175,annullieren,annulliere,,annullierst,,annulliert,annullierte,,annulliert,,annullierte,,annulliere,annullier,,annulliert,,haben,,cancel,Cancelar,Annuler
2507,175,überkommen,überkomme,,überkommst,,überkommt,überkam,,überkommen,,überkäme,,überkomme,,,überkommt,überkommet,haben,,overcome,superar,surmonter
2508,175,aktualisieren,aktualisiere,,aktualisierst,,aktualisiert,aktualisierte,,aktualisiert,,aktualisierte,,aktualisiere,aktualisier,,aktualisiert,,haben,,update,actualizar,mise à jour
2509,175,lichten,lichte,,lichtest,,lichtet,lichtete,,gelichtet,,lichtete,,licht,lichte,,lichtet,,haben,,light up,iluminar,allumer
2510,175,grübeln,grübele,grüble,grübelst,,grübelt,grübelte,,gegrübelt,,grübelte,,grübele,grüble,,grübelt,,haben,,ponder,reflexionar,réfléchir
2511,175,nachtragen,trage nach,,trägst nach,,trägt nach,trug nach,,nachgetragen,,trüge nach,,trag nach,trage nach,,tragt nach,,haben,,add,agregar,ajouter
2503,176,ausmalen,male aus,,malst aus,,malt aus,malte aus,,ausgemalt,,malte aus,,mal aus,male aus,,malt aus,,haben,,color in,colorear en,colorier
2504,176,anbaggern,bagger an,baggere an,baggerst an,,baggert an,baggerte an,,angebaggert,,baggerte an,,bagger an,baggere an,,baggert an,,haben,,hit on,dar con,frapper
2505,176,verunglücken,verunglücke,,verunglückst,,verunglückt,verunglückte,,verunglückt,,verunglückte,,verunglück,verunglücke,,verunglückt,,sein,,accidents,accidentes,accidents
2496,177,imponieren,imponiere,,imponierst,,imponiert,imponierte,,imponiert,,imponierte,,imponiere,imponier,,imponiert,,haben,,impress,impresionar,impressionner
2497,177,baumeln,baumle,,baumelst,,baumelt,baumelte,,gebaumelt,,baumelte,,baumle,,,baumelt,,haben,sein,dangle,colgar,pendre
2498,177,zügeln,zügle,,zügelst,,zügelt,zügelte,,gezügelt,,zügelte,,zügle,,,zügelt,,haben,sein,rein in,refrenar,maîtriser
2499,177,wohlfühlen,fühle wohl,,fühlst wohl,,fühlt wohl,fühlte wohl,,wohlgefühlt,,fühlte wohl,,fühl wohl,fühle wohl,,fühlt wohl,,haben,,feel good,sentirse bien,se sentir bien
2500,177,aufsitzen,sitze auf,,sitzt auf,,sitzt auf,saß auf,,aufgesessen,,säße auf,,sitz auf,,,sitzt auf,,haben,sein,sit up,incorporarse,asseyez-vous
2501,177,letzen,letze,,letzt,,letzt,letzte,,geletzt,,letzte,,letz,letze,,letzt,,haben,,last,último,dernier
2502,177,bekehren,bekehre,,bekehrst,,bekehrt,bekehrte,,bekehrt,,bekehrte,,bekehre,,,bekehrt,,haben,,convert,convertir,convertir
2492,178,zwinkern,zwinkere,,zwinkerst,,zwinkert,zwinkerte,,gezwinkert,,zwinkerte,,zwinkere,,,zwinkert,,haben,,wink,guiño,clin d'œil
2493,178,ködern,ködere,,köderst,,ködert,köderte,,geködert,,köderte,,ködere,,,ködert,,haben,,bait,carnada,appât
2494,178,knöpfen,knöpfe,,knöpfst,,knöpft,knöpfte,,geknöpft,,knöpfte,,knöpf,knöpfe,,knöpft,,haben,,button,botón,bouton
2495,178,ausdrucken,drucke aus,,druckst aus,,druckt aus,druckte aus,,ausgedruckt,,druckte aus,,druck aus,drucke aus,,druckt aus,,haben,,print,imprimir,imprimer
2483,179,salutieren,salutiere,,salutierst,,salutiert,salutierte,,salutiert,,salutierte,,salutier,salutiere,,salutiert,,haben,,salute,saludo,saluer
2484,179,wiedererlangen,erlange wieder,,erlangst wieder,,erlangt wieder,erlangte wieder,,wiedererlangt,,erlangte wieder,,erlang wieder,erlange wieder,,erlangt wieder,,haben,,regain,recuperar,regagner
2485,179,detonieren,detoniere,,detonierst,,detoniert,detonierte,,detoniert,,detonierte,,detoniere,detonier,,detoniert,,sein,,detonate,detonar,exploser
2486,179,leidtun,tu leid,tue leid,tust leid,,tut leid,tat leid,,leidgetan,,täte leid,,tu leid,tue leid,,tut leid,,haben,,to hurt,lastimar,faire du mal
2487,179,anbrennen,brenne an,,brennst an,,brennt an,brannte an,,angebrannt,,brennte an,,brenn an,brenne an,,brennt an,,haben,sein,burn,quemar,brûler
2488,179,bleichen,bleiche,,bleichst,,bleicht,bleichte,,gebleicht,,bleichte,,bleich,bleiche,,bleicht,,haben,,bleaching,blanqueamiento,blanchiment
2489,179,beglücken,beglücke,,beglückst,,beglückt,beglückte,,beglückt,,beglückte,,beglück,beglücke,,beglückt,,haben,,make happy,hacer feliz,rendre heureux
2490,179,überbieten,überbiete,,überbietest,,überbietet,überbot,,überboten,,überböte,,überbiet,überbiete,,überbietet,,haben,,surpass,superar,dépasser
2491,179,sterilisieren,sterilisiere,,sterilisierst,,sterilisiert,sterilisierte,,sterilisiert,,sterilisierte,,sterilisier,sterilisiere,,sterilisiert,,haben,,sterilize,esterilizar,stériliser
2474,180,fehlschlagen,—,,—,,schlägt fehl,schlug fehl,,fehlgeschlagen,,schlüge fehl,,—,,,—,,sein,,fail,fallar,échouer
2475,180,frittieren,frittiere,,frittierst,,frittiert,frittierte,,frittiert,,frittierte,,frittiere,frittier,,frittiert,,haben,,fry,freír,frire
2476,180,umsteigen,steige um,,steigst um,,steigt um,stieg um,,umgestiegen,,stiege um,,steig um,,,steigt um,,sein,,transfer,transferir,transfert
2477,180,entwaffnen,entwaffne,,entwaffnest,,entwaffnet,entwaffnete,,entwaffnet,,entwaffnete,,entwaffne,,,entwaffnet,,haben,,disarm,desarmar,désarmer
2478,180,faseln,fasele,fasle,faselst,,faselt,faselte,,gefaselt,,faselte,,fasel,,,faselt,,haben,,ramble,divagar,randonnée
2479,180,positionieren,positioniere,,positionierst,,positioniert,positionierte,,positioniert,,positionierte,,positionier,positioniere,,positioniert,,haben,,position,posición,position
2480,180,nachladen,lade nach,,lädst nach,,lädt nach,lud nach,,nachgeladen,,lüde nach,,lad nach,lade nach,,ladet nach,,haben,,reload,recargar,recharger
2481,180,verklingen,verklinge,,verklingst,,verklingt,verklang,,verklungen,,verklänge,,verklinge,verkling,,verklingt,,sein,,fade away,desvanecerse,disparaître
2482,180,erblühen,erblühe,,erblühst,,erblüht,erblühte,,erblüht,,erblühte,,erblüh,erblühe,,erblüht,,sein,,blossom,florecer,fleurir
2470,181,genesen,genese,,genest,,genest,genas,,genesen,,genäse,,genese,,,genest,,sein,,recover,recuperar,récupérer
2471,181,statuieren,statuiere,,statuierst,,statuiert,statuierte,,statuiert,,statuierte,,statuiere,statuier,,statuiert,,haben,,stat,estadística,statistique
2472,181,schwirren,schwirre,,schwirrst,,schwirrt,schwirrte,,geschwirrt,,schwirrte,,schwirr,schwirre,,schwirrt,,sein,,buzz,zumbido,bourdonner
2473,181,verneigen,verneige,,verneigst,,verneigt,verneigte,,verneigt,,verneigte,,verneig,verneige,,verneigt,,haben,,bow,arco,arc
2466,182,quaken,quake,,quakst,,quakt,quakte,,gequakt,,quakte,,quake,quak,,quakt,,haben,,croak,croar,crever
2467,182,fechten,fechte,,fichtst,,ficht,focht,,gefochten,,föchte,,ficht,,,fechtet,,haben,,fencing,esgrima,escrime
2468,182,zappeln,zappele,,zappelst,,zappelt,zappelte,,gezappelt,,zappelte,,zappele,zappel,,zappelt,,haben,,fidget,agitarse,agité
2469,182,schärfen,schärfe,,schärfst,,schärft,schärfte,,geschärft,,schärfte,,schärfe,schärf,,schärft,,haben,,sharpen,afilar,aiguiser
2459,183,veralten,veralte,,veraltest,,veraltet,veraltete,,veraltet,,veraltete,,veralte,,,veraltet,,sein,,obsolescence,obsolescencia,obsolescence
2460,183,fortschreiten,schreite fort,,schreitest fort,,schreitet fort,schritt fort,,fortgeschritten,,schritte fort,,schreite fort,,,schreitet fort,,sein,,progress,progreso,progrès
2461,183,dealen,deale,,dealst,,dealt,dealte,,gedealt,,dealte,,deale,deal,,dealt,,haben,,deal,trato,accord
2462,183,tendieren,tendiere,,tendierst,,tendiert,tendierte,,tendiert,,tendierte,,tendiere,tendier,,tendiert,,haben,,tend,tender,tendre
2463,183,versklaven,versklave,,versklavst,,versklavt,versklavte,,versklavt,,versklavte,,versklave,,,versklavt,,haben,,enslave,esclavizar,asservir
2464,183,beaufsichtigen,beaufsichtige,,beaufsichtigst,,beaufsichtigt,beaufsichtigte,,beaufsichtigt,,beaufsichtigte,,beaufsichtig,beaufsichtige,,beaufsichtigt,,haben,,supervise,supervisar,superviser
2465,183,überschwemmen,überschwemme,,überschwemmst,,überschwemmt,überschwemmte,,überschwemmt,,überschwemmte,,überschwemme,,,überschwemmt,,haben,,flood,inundación,inondation
2455,184,festsetzen,setze fest,,setzt fest,,setzt fest,setzte fest,,festgesetzt,,setzte fest,,setz fest,setze fest,,setzt fest,,haben,,fix,arreglar,réparer
2456,184,einschläfern,schläfere ein,,schläferst ein,,schläfert ein,schläferte ein,,eingeschläfert,,schläferte ein,,schläfer ein,schläfere ein,,schläfert ein,,haben,,put to sleep,hacer dormir,endormir
2457,184,einfordern,fordere ein,,forderst ein,,fordert ein,forderte ein,,eingefordert,,forderte ein,,forder ein,fordere ein,,fordert ein,,haben,,demand,demanda,demande
2458,184,verlagern,verlagere,,verlagerst,,verlagert,verlagerte,,verlagert,,verlagerte,,verlagere,,,verlagert,,haben,,relocate,trasladarse,déménager
2453,185,trügen,trüge,,trügst,,trügt,trog,,getrogen,,tröge,,trüg,trüge,,trügt,,haben,,deceive,engañar,tromper
2454,185,totlachen,lache tot,,lachst tot,,lacht tot,lachte tot,,totgelacht,,lachte tot,,lach tot,lache tot,,lacht tot,,haben,,laugh to death,reír hasta morir,rire à mort
2449,186,verbarrikadieren,verbarrikadiere,,verbarrikadierst,,verbarrikadiert,verbarrikadierte,,verbarrikadiert,,verbarrikadierte,,verbarrikadier,verbarrikadiere,,verbarrikadiert,,haben,,barricade,barricada,barricade
2450,186,abfüllen,fülle ab,füll ab,füllst ab,,füllt ab,füllte ab,,abgefüllt,,füllte ab,,füll ab,fülle ab,,füllt ab,,haben,,bottling,embotellado,embouteillage
2451,186,verstauchen,verstauche,,verstauchst,,verstaucht,verstauchte,,verstaucht,,verstauchte,,verstauch,verstauche,,verstaucht,,haben,,sprain,esguince,entorse
2452,186,triumphieren,triumphiere,,triumphierst,,triumphiert,triumphierte,,triumphiert,,triumphierte,,triumphier,triumphiere,,triumphiert,,haben,,triumph,triunfo,triomphe
2446,187,mähen,mähe,,mähst,,mäht,mähte,,gemäht,,mähte,,mähe,mäh,,mäht,,haben,,mowing,siega,fauchage
2447,187,pochen,poche,,pochst,,pocht,pochte,,gepocht,,pochte,,poche,poch,,pocht,,haben,,throb,palpitar,palpiter
2448,187,rebellieren,rebelliere,,rebellierst,,rebelliert,rebellierte,,rebelliert,,rebellierte,,rebelliere,rebellier,,rebelliert,,haben,,rebel,rebelde,rebelle
2440,188,wichsen,wichse,,wichst,,wichst,wichste,,gewichst,,wichste,,wichse,,,wichst,,haben,,jerk off,hacerse una paja,se branler
2441,188,dichten,dichte,,dichtest,,dichtet,dichtete,,gedichtet,,dichtete,,dichte,,,dichtet,,haben,,seal,sello,joint
2442,188,knirschen,knirsche,,knirschst,,knirscht,knirschte,,geknirscht,,knirschte,,knirsche,,,knirscht,,haben,,crunch,crujido,croquer
2443,188,gabeln,gable,gabele,gabelst,,gabelt,gabelte,,gegabelt,,gabelte,,gable,gabele,,gabelt,,haben,,forks,tenedores,fourchettes
2444,188,verladen,verlade,,verlädst,,verlädt,verlud,,verladen,,verlüde,,verlad,verlade,,verladet,,haben,,loaded,cargado,chargé
2445,188,mindern,mindere,,minderst,,mindert,minderte,,gemindert,,minderte,,mindere,,,mindert,,haben,,reduce,reducir,réduire
2434,189,kennzeichnen,kennzeichne,,kennzeichnest,,kennzeichnet,kennzeichnete,,gekennzeichnet,,kennzeichnete,,kennzeichne,,,kennzeichnet,,haben,,mark,marca,marque
2435,189,kränken,kränke,,kränkst,,kränkt,kränkte,,gekränkt,,kränkte,,kränk,kränke,,kränkt,,haben,,offend,ofender,offenser
2436,189,festmachen,mache fest,,machst fest,,macht fest,machte fest,,festgemacht,,machte fest,,mach fest,mache fest,,macht fest,,haben,,fasten,sujetar,fixer
2437,189,heuern,heuere,,heuerst,,heuert,heuerte,,geheuert,,heuerte,,heuer,heuere,,heuert,,haben,,hire,contratar,embaucher
2438,189,weiterreden,rede weiter,,redest weiter,,redet weiter,redete weiter,,weitergeredet,,redete weiter,,red weiter,rede weiter,,redet weiter,,haben,,keep talking,sigue hablando,continue de parler
2439,189,umbauen,baue um,,baust um,,baut um,baute um,,umgebaut,,baute um,,baue um,,,baut um,,haben,,rebuild,reconstruir,reconstruire
2428,190,delegieren,delegiere,,delegierst,,delegiert,delegierte,,delegiert,,delegierte,,delegiere,delegier,,delegiert,,haben,,delegate,delegar,déléguer
2429,190,verhöhnen,verhöhne,,verhöhnst,,verhöhnt,verhöhnte,,verhöhnt,,verhöhnte,,verhöhne,,,verhöhnt,,haben,,mock,imitar,se moquer
2430,190,aufdrängen,dränge auf,,drängst auf,,drängt auf,drängte auf,,aufgedrängt,,drängte auf,,dränge auf,,,drängt auf,,haben,,impose,imponer,imposer
2431,190,bowlen,bowle,,bowlst,,bowlt,bowlte,,gebowlt,,bowlte,,bowl,,,bowlt,,haben,,bowling,bolos,bowling
2432,190,prallen,pralle,,prallst,,prallt,prallte,,geprallt,,prallte,,prall,,,prallt,,sein,haben,bounce,rebotar,rebond
2433,190,bewerfen,bewerfe,,bewirfst,,bewirft,bewarf,,beworfen,,bewürfe,,bewirf,,,bewerft,,haben,,throw at,tirar a,jeter sur
2427,191,bereichern,bereichere,,bereicherst,,bereichert,bereicherte,,bereichert,,bereicherte,,bereichere,,,bereichert,,haben,,enrich,enriquecer,enrichir
2424,192,klimpern,klimpere,,klimperst,,klimpert,klimperte,,geklimpert,,klimperte,,klimpere,,,klimpert,,haben,,strum,rasguear,gratter
2425,192,futtern,futtere,,futterst,,futtert,futterte,,gefuttert,,futterte,,futtere,,,futtert,,haben,,feed,alimentar,alimentation
2426,192,mithelfen,helfe mit,,hilfst mit,,hilft mit,half mit,,mitgeholfen,,hülfe mit,,hilf mit,,,helft mit,,haben,,help out,ayudar,aider
2422,193,vereinfachen,vereinfache,,vereinfachst,,vereinfacht,vereinfachte,,vereinfacht,,vereinfachte,,vereinfach,vereinfache,,vereinfacht,,haben,,simplify,simplificar,simplifier
2423,193,knüpfen,knüpfe,,knüpfst,,knüpft,knüpfte,,geknüpft,,knüpfte,,knüpfe,,,knüpft,,haben,,tie,atar,cravate
2417,194,vernaschen,vernasche,,vernaschst,,vernascht,vernaschte,,vernascht,,vernaschte,,vernasche,vernasch,,vernascht,,haben,,eat up,comerse,dévorer
2418,194,hinken,hinke,,hinkst,,hinkt,hinkte,,gehinkt,,hinkte,,hink,hinke,,hinkt,,haben,,limp,cojear,mous
2419,194,stranden,strande,,strandest,,strandet,strandete,,gestrandet,,strandete,,strande,,,strandet,,sein,,stranded,varado,échoué
2420,194,bemalen,bemale,,bemalst,,bemalt,bemalte,,bemalt,,bemalte,,bemal,bemale,,bemalt,,haben,,paint,pintar,peinture
2421,194,verbiegen,verbiege,,verbiegst,,verbiegt,verbog,,verbogen,,verböge,,verbieg,verbiege,,verbiegt,,haben,,bend,doblar,plier
2415,195,recherchieren,recherchiere,,recherchierst,,recherchiert,recherchierte,,recherchiert,,recherchierte,,recherchiere,recherchier,,recherchiert,,haben,,research,investigación,recherche
2416,195,begutachten,begutachte,,begutachtest,,begutachtet,begutachtete,,begutachtet,,begutachtete,,begutachte,begutacht,,begutachtet,,haben,,examine,examinar,examiner
2409,196,eskalieren,eskaliere,,eskalierst,,eskaliert,eskalierte,,eskaliert,,eskalierte,,eskaliere,eskalier,,eskaliert,,haben,sein,escalate,escalar,intensifier
2410,196,belagern,belagere,,belagerst,,belagert,belagerte,,belagert,,belagerte,,belager,belagere,,belagert,,haben,,besiege,sitiar,assiéger
2411,196,expandieren,expandiere,,expandierst,,expandiert,expandierte,,expandiert,,expandierte,,expandier,expandiere,,expandiert,,haben,sein,expand,expandir,développer
2412,196,regenerieren,regeneriere,,regenerierst,,regeneriert,regenerierte,,regeneriert,,regenerierte,,regeneriere,regenerier,,regeneriert,,haben,,regenerate,regenerado,régénérer
2413,196,rocken,rocke,,rockst,,rockt,rockte,,gerockt,,rockte,,rocke,,,rockt,,haben,,rock,roca,rocher
2414,196,verfüttern,verfüttere,,verfütterst,,verfüttert,verfütterte,,verfüttert,,verfütterte,,verfütter,verfüttere,,verfüttert,,haben,,feed,alimentar,alimentation
2407,197,deponieren,deponiere,,deponierst,,deponiert,deponierte,,deponiert,,deponierte,,deponiere,deponier,,deponiert,,haben,,deposit,depósito,dépôt
2408,197,fohlen,—,,—,,fohlt,fohlte,,gefohlt,,fohlte,,—,,,—,,haben,,foal,potro,poulain
2401,198,erhitzen,erhitze,,erhitzt,,erhitzt,erhitzte,,erhitzt,,erhitzte,,erhitz,erhitze,,erhitzt,,haben,,heat,calor,chaleur
2402,198,etablieren,etabliere,,etablierst,,etabliert,etablierte,,etabliert,,etablierte,,etablier,etabliere,,etabliert,,haben,,establish,establecer,établir
2403,198,touren,toure,,tourst,,tourt,tourte,,getourt,,tourte,,toure,,,tourt,,haben,sein,tour,recorrido,tournée
2404,198,einstehen,stehe ein,,stehst ein,,steht ein,stand ein,,eingestanden,,stünde ein,,stehe ein,,,steht ein,,haben,sein,stand up,ponerse de pie,se lever
2405,198,symbolisieren,symbolisiere,,symbolisierst,,symbolisiert,symbolisierte,,symbolisiert,,symbolisierte,,symbolisier,symbolisiere,,symbolisiert,,haben,,symbolize,simbolizar,symboliser
2406,198,befehligen,befehlige,,befehligst,,befehligt,befehligte,,befehligt,,befehligte,,befehlig,befehlige,,befehligt,,haben,,command,dominio,commande
2396,199,zerfleischen,zerfleische,,zerfleischst,zerfleischt,zerfleischt,zerfleischte,,zerfleischt,,zerfleischte,,zerfleisch,zerfleische,,zerfleischt,,haben,,mangle,mutilar,mutiler
2397,199,booten,boote,,bootest,,bootet,bootete,,gebootet,,bootete,,boot,boote,,bootet,,haben,,boot,bota,botte
2398,199,mitgeben,gebe mit,,gibst mit,,gibt mit,gab mit,,mitgegeben,,gäbe mit,,gib mit,,,gebt mit,,haben,,give along,dar,céder
2399,199,einfädeln,fädele ein,fädle ein,fädelst ein,,fädelt ein,fädelte ein,,eingefädelt,,fädelte ein,,fädele ein,fädle ein,,fädelt ein,,haben,,thread,hilo,fil
2400,199,ausbluten,blute aus,,blutest aus,,blutet aus,blutete aus,,ausgeblutet,,blutete aus,,blute aus,,,blutet aus,,haben,sein,bleed out,desangrarse,saigner
2392,200,reflektieren,reflektiere,,reflektierst,,reflektiert,reflektierte,,reflektiert,,reflektierte,,reflektiere,reflektier,,reflektiert,,haben,,reflect,reflejar,refléter
2393,200,grollen,grolle,,grollst,,grollt,grollte,,gegrollt,,grollte,,groll,grolle,,grollt,,haben,,rumble,retumbar,gronder
2394,200,jucken,jucke,,juckst,,juckt,juckte,,gejuckt,,juckte,,juck,jucke,,juckt,,haben,,itching,picor,démangeaison
2395,200,kurven,kurve,,kurvst,,kurvt,kurvte,,gekurvt,,kurvte,,kurv,kurve,,kurvt,,sein,haben,curves,curvas,courbes
2390,201,unterlassen,unterlasse,,unterlässt,,unterlässt,unterließ,,unterlassen,,unterließe,,unterlass,,,unterlasst,,haben,,refrain from,abstenerse de,s'abstenir de
2391,201,aufbrauchen,brauche auf,,brauchst auf,,braucht auf,brauchte auf,,aufgebraucht,,brauchte auf,,brauche auf,,,braucht auf,,haben,,use up,agotar,épuiser
2384,202,tönen,töne,,tönst,,tönt,tönte,,getönt,,tönte,,tön,töne,,tönt,tönet,haben,,sound,sonido,son
2385,202,löchern,löchere,,löcherst,,löchert,löcherte,,gelöchert,,löcherte,,löcher,löchere,,löchert,,haben,,holes,agujeros,trous
2386,202,würzen,würze,,würzt,,würzt,würzte,,gewürzt,,würzte,,würze,,,würzt,,haben,,season,estación,saison
2387,202,ausschlagen,schlage aus,,schlägst aus,,schlägt aus,schlug aus,,ausgeschlagen,,schlüge aus,,schlag aus,,,schlagt aus,,haben,sein,knock out,knockear,Assommer
2388,202,versüßen,versüße,,versüßt,,versüßt,versüßte,,versüßt,,versüßte,,versüß,versüße,,versüßt,,haben,,sweeten,endulzar,sucrer
2389,202,weitersuchen,suche weiter,,suchst weiter,,sucht weiter,suchte weiter,,weitergesucht,,suchte weiter,,such weiter,suche weiter,,sucht weiter,,haben,,keep looking,sigue buscando,continue de chercher
2379,203,schlürfen,schlürfe,,schlürfst,,schlürft,schlürfte,,geschlürft,,schlürfte,,schlürfe,schlürf,,schlürft,,haben,,sip,sorbo,siroter
2380,203,amputieren,amputiere,,amputierst,,amputiert,amputierte,,amputiert,,amputierte,,amputiere,amputier,,amputiert,,haben,,amputate,amputar,amputer
2381,203,abwechseln,wechsel ab,wechsle ab,wechselst ab,,wechselt ab,wechselte ab,,abgewechselt,,wechselte ab,,wechsel ab,,,wechselt ab,,haben,,alternate,alternar,alterner
2382,203,anbinden,binde an,,bindest an,,bindet an,band an,,angebunden,,bände an,,bind an,binde an,,bindet an,,haben,,connect,conectar,connecter
2383,203,eindämmen,dämme ein,,dämmst ein,,dämmt ein,dämmte ein,,eingedämmt,,dämmte ein,,dämm ein,dämme ein,,dämmt ein,,haben,,contain,contener,contenir
2374,204,dichtmachen,mache dicht,,machst dicht,,macht dicht,machte dicht,,dichtgemacht,,machte dicht,,mach dicht,mache dicht,,macht dicht,,haben,,close up,de cerca,gros plan
2375,204,kribbeln,kribble,,kribbelst,,kribbelt,kribbelte,,gekribbelt,,kribbelte,,kribble,,,kribbelt,,haben,sein,tingle,hormigueo,picotement
2376,204,umschreiben,umschreibe,,umschreibst,,umschreibt,umschrieb,,umschrieben,,umschriebe,,umschreibe,,,umschreibt,,haben,,rewrite,volver a escribir,récrire
